waypoint1	waypoint2	distance_m	duration_s
Black Canyon of the Gunnison, Colorado	Petrified Forest, Arizona	584128	22820
Black Canyon of the Gunnison, Colorado	Pinnacles, California	1658733	56929
Black Canyon of the Gunnison, Colorado	Redwood, California	1707223	60013
Black Canyon of the Gunnison, Colorado	Rocky Mountain, Colorado	447442	20553
Black Canyon of the Gunnison, Colorado	Saguaro, Arizona	906902	33630
Black Canyon of the Gunnison, Colorado	Sequoia, California	1537324	52314
Black Canyon of the Gunnison, Colorado	Shenandoah, Virginia	2902218	100318
Black Canyon of the Gunnison, Colorado	Theodore Roosevelt, North Dakota	1395683	48784
Black Canyon of the Gunnison, Colorado	Voyageurs, Minnesota	2155881	78366
Black Canyon of the Gunnison, Colorado	White Sands, New Mexico	925561	34976
Black Canyon of the Gunnison, Colorado	Wind Cave, South Dakota	962820	35274
Black Canyon of the Gunnison, Colorado	Yellowstone, Wyoming	1039055	38215
Black Canyon of the Gunnison, Colorado	Yosemite, California	1332748	46956
Black Canyon of the Gunnison, Colorado	Zion, Utah	699684	24861
Canyonlands, Utah	Bryce Canyon, Utah	416132	15973
Capitol Reef, Utah	Bryce Canyon, Utah	183661	7926
Carlsbad Caverns, New Mexico	Bryce Canyon, Utah	1358240	47684
Congaree, South Carolina	Bryce Canyon, Utah	3469995	116380
Crater Lake, Oregon	Bryce Canyon, Utah	1392746	51078
Cuyahoga Valley, Ohio	Bryce Canyon, Utah	3016016	100871
Death Valley, California	Bryce Canyon, Utah	644533	22153
Everglades, Florida	Bryce Canyon, Utah	4057790	135914
Great Sand Dunes, Colorado	Bryce Canyon, Utah	888318	34140
Great Smoky Mountains, North Carolina	Bryce Canyon, Utah	3090560	104254
Gateway Arch, Missouri	Bryce Canyon, Utah	2237038	74943
Glacier, Montana	Bryce Canyon, Utah	1475648	47809
Grand Canyon, Arizona	Bryce Canyon, Utah	600416	22424
Great Basin, Nevada	Bryce Canyon, Utah	869461	31469
Bryce Canyon, Utah	Guadalupe Mountains, Texas	1414376	49637
Hot Springs, Arkansas	Bryce Canyon, Utah	2243533	78765
Indiana Dunes, Indiana	Bryce Canyon, Utah	2529819	84454
Joshua Tree, California	Bryce Canyon, Utah	736965	25989
Kings Canyon, California	Bryce Canyon, Utah	1088124	38227
Bryce Canyon, Utah	Lassen Volcanic, California	1149484	42035
Mammoth Cave, Kentucky	Bryce Canyon, Utah	2698848	91509
Mesa Verde, Colorado	Bryce Canyon, Utah	607684	22406
Mount Rainier, Washington	Bryce Canyon, Utah	1786038	62470
Bryce Canyon, Utah	North Cascades, Washington	1859444	64559
Petrified Forest, Arizona	Bryce Canyon, Utah	619785	22465
Pinnacles, California	Bryce Canyon, Utah	1150553	40702
Redwood, California	Bryce Canyon, Utah	1300533	44611
Rocky Mountain, Colorado	Bryce Canyon, Utah	915231	34500
Bryce Canyon, Utah	Saguaro, Arizona	704125	25331
Sequoia, California	Bryce Canyon, Utah	1029146	36087
Shenandoah, Virginia	Bryce Canyon, Utah	3452929	115743
Theodore Roosevelt, North Dakota	Bryce Canyon, Utah	1766824	58459
Voyageurs, Minnesota	Bryce Canyon, Utah	2609945	88846
Bryce Canyon, Utah	White Sands, New Mexico	1233610	43182
Wind Cave, South Dakota	Bryce Canyon, Utah	1382128	46783
Yellowstone, Wyoming	Bryce Canyon, Utah	948188	31266
Yosemite, California	Bryce Canyon, Utah	867976	31615
Zion, Utah	Bryce Canyon, Utah	120220	5075
Canyonlands, Utah	Capitol Reef, Utah	232774	8418
Canyonlands, Utah	Carlsbad Caverns, New Mexico	1052122	37549
Congaree, South Carolina	Canyonlands, Utah	3180983	105295
Canyonlands, Utah	Crater Lake, Oregon	1508710	53234
Cuyahoga Valley, Ohio	Canyonlands, Utah	2727000	89786
Canyonlands, Utah	Death Valley, California	971782	31950
Canyonlands, Utah	Everglades, Florida	3751672	125779
Canyonlands, Utah	Great Sand Dunes, Colorado	504812	20644
Canyonlands, Utah	Great Smoky Mountains, North Carolina	2801541	93167
Canyonlands, Utah	Gateway Arch, Missouri	1948022	63858
Canyonlands, Utah	Glacier, Montana	1429149	47079
Canyonlands, Utah	Grand Canyon, Arizona	648592	23767
Canyonlands, Utah	Great Basin, Nevada	985424	33626
Canyonlands, Utah	Guadalupe Mountains, Texas	1108257	39501
Canyonlands, Utah	Hot Springs, Arkansas	1937414	68629
Canyonlands, Utah	Indiana Dunes, Indiana	2240804	73369
Canyonlands, Utah	Joshua Tree, California	1064214	35786
Canyonlands, Utah	Kings Canyon, California	1415372	48024
Canyonlands, Utah	Lassen Volcanic, California	1375429	48670
Canyonlands, Utah	Mammoth Cave, Kentucky	2409832	80424
Canyonlands, Utah	Mesa Verde, Colorado	186917	7561
Mount Rainier, Washington	Canyonlands, Utah	1739539	61741
Canyonlands, Utah	North Cascades, Washington	1812944	63830
Canyonlands, Utah	Petrified Forest, Arizona	479273	17514
Canyonlands, Utah	Pinnacles, California	1477803	50500
Redwood, California	Canyonlands, Utah	1526293	53584
Canyonlands, Utah	Rocky Mountain, Colorado	626215	23415
Canyonlands, Utah	Saguaro, Arizona	905932	31550
Canyonlands, Utah	Sequoia, California	1356396	45885
Canyonlands, Utah	Shenandoah, Virginia	3163914	104658
Canyonlands, Utah	Theodore Roosevelt, North Dakota	1483048	50669
Canyonlands, Utah	Voyageurs, Minnesota	2317024	81346
Canyonlands, Utah	White Sands, New Mexico	965983	33784
Wind Cave, South Dakota	Canyonlands, Utah	1123963	38255
Canyonlands, Utah	Yellowstone, Wyoming	901688	30537
Canyonlands, Utah	Yosemite, California	1151818	40526
Zion, Utah	Canyonlands, Utah	518754	18432
Carlsbad Caverns, New Mexico	Capitol Reef, Utah	1209741	43695
Congaree, South Carolina	Capitol Reef, Utah	3285971	108606
Crater Lake, Oregon	Capitol Reef, Utah	1470068	51591
Cuyahoga Valley, Ohio	Capitol Reef, Utah	2831992	93097
Death Valley, California	Capitol Reef, Utah	749949	25999
Everglades, Florida	Capitol Reef, Utah	4034200	131533
Great Sand Dunes, Colorado	Capitol Reef, Utah	704293	26366
Great Smoky Mountains, North Carolina	Capitol Reef, Utah	2906535	96480
Gateway Arch, Missouri	Capitol Reef, Utah	2053014	67169
Glacier, Montana	Capitol Reef, Utah	1390508	45436
Grand Canyon, Arizona	Capitol Reef, Utah	705346	27183
Great Basin, Nevada	Capitol Reef, Utah	946783	31983
Capitol Reef, Utah	Guadalupe Mountains, Texas	1265876	45647
Hot Springs, Arkansas	Capitol Reef, Utah	2095033	74775
Indiana Dunes, Indiana	Capitol Reef, Utah	2345795	76661
Joshua Tree, California	Capitol Reef, Utah	842382	29835
Kings Canyon, California	Capitol Reef, Utah	1193540	42074
Capitol Reef, Utah	Lassen Volcanic, California	1217684	43890
Mammoth Cave, Kentucky	Capitol Reef, Utah	2514824	83735
Mesa Verde, Colorado	Capitol Reef, Utah	418534	15401
Mount Rainier, Washington	Capitol Reef, Utah	1700897	60098
Capitol Reef, Utah	North Cascades, Washington	1774303	62187
Petrified Forest, Arizona	Capitol Reef, Utah	606226	22388
Pinnacles, California	Capitol Reef, Utah	1255970	44549
Redwood, California	Capitol Reef, Utah	1405950	48457
